context,question,answer,hallucination
"Bellevalia is a genus of plants in the family Asparagaceae, subfamily Scilloideae.The pear is any of several tree and shrub species of genus Pyrus , in the family Rosaceae.",Do Bellevalia and Pear belong to the same family?,Bellevalia and Pear belong to different families.,yes
"Nine is a 2009 romantic musical drama film directed and produced by Rob Marshall and written by Michael Tolkin and Anthony Minghella. The film is an adaptation of the 1982 musical of the same name, which in turn is based on Federico Fellini's semi-autobiographical 1963 film ""8½"".Dame Judith Olivia ""Judi"" Dench, {'1': "", '2': "", '3': "", '4': ""} (born 9 December 1934) is an English actress and author. Dench made her professional debut in 1957 with the Old Vic Company.","On which semi-autobiographical film is based the 2009 romantic musical drama, which features an ensemble cast including the English actress who made her debut with the Old Vic Company?",8½,no
"TD Securities is a Canadian investment bank and financial services provider that offers advisory and capital market services to corporate, government, and institutional clients worldwide.Wachovia Securities was the trade name of Wachovia's retail brokerage and institutional capital markets and investment banking subsidiaries.",Are both TD Securities and Wachovia Securities investment banks?,yes,no
" In the episode, Cartman contracts HIV during a blood-transfusion. When Kyle laughs at Cartman's misfortune, Cartman intentionally infects Kyle with his disease as well. Kyle is one of the show's four central characters, along with his friends Stan Marsh, Kenny McCormick, and Eric Cartman.",What disease was Kyle Broflovski infected with by one of his three friends?,Kyle was infected with a contagious disease.,yes
"Kotiliesi (meaning ""Fireside"" in English) is a Finnish language bimonthly family and women's magazine published in Helsinki, Finland. The magazine was based in New York City.",Were Kotiliesi and Lear's published in the same country?,no,no
"The naval Battle of the Sound took place on 8 November 1658 (29 October O.S.) during the Second Northern War, near the Sound or Øresund, just north of the Danish capital, Copenhagen.Øresund or Öresund (Danish: ""Øresund"" , ] ; Swedish: ""Öresund"" , ] ), commonly known in English as the Sound, is a strait which forms the Danish–Swedish border, separating Sjælland (Denmark) from Skåne (Sweden). It is 4 km wide at its narrowest point between Helsingør in Denmark and Helsingborg in Sweden.",How wide is the location of the Battle of the Sound at its narrowest point?,4 km,no
"A to Z is an American romantic comedy television series created by Ben Queen. He served as an executive producer with Rashida Jones and Will McCormack for Warner Bros. She is widely known for playing Ann Perkins on NBC's comedy ""Parks and Recreation"", for which she received acclaim.","The actor who played Ann Perkins on NBC's ""Parks and Recreation"", was the executive producer of which romantic comedy television series ?",A to Z,no
"Grinderman is the eponymous debut studio album by alternative rock band Grinderman, a side project of members of Nick Cave and the Bad Seeds, released on March 5, 2007 on Mute Records in Europe and ANTI- in the United States.Nick Cave and the Bad Seeds are an Australian rock band formed in Melbourne in 1983 by vocalist Nick Cave, multi-instrumentalist Mick Harvey and guitarist Blixa Bargeld.",Both Grinderman and Nick Cave and the Bad Seeds are a rock band based out of where?,Melbourne,no
" Kassir is also known for his role as Ralph in the Off-Broadway show ""Reefer Madness"", as well as its film adaptation, as well as his voice over work as Buster Bunny (taking over for Charlie Adler late in the final season of ""Tiny Toon Adventures""), Ray ""Raymundo"" Rocket on ""Rocket Power"", the mischievous raccoon Meeko in ""Pocahontas"" and its direct-to-video sequel, Jibolba in the ""Tak and the Power of Juju"" video game series, and the current voices of Pete Puma in ""The Looney Tunes Show"", and Deadpool in """" and the """" series.Reefer Madness is a musical satire of the 1936 cult classic ""Reefer Madness"" that opened in Los Angeles in 1998.",",John Kassir, is an American actor, voice actor and comedian.Kassir is also known for his role as Ralph in the Off-Broadway show ""Reefer Madness"", a musical satire of which year?","Kassir is also known for his role as Ralph in the Off-Broadway show ""Reefer Madness"", a musical satire of the 1920s.",yes
" He is most famous for being DJ Drama's protégé and appearing on both DJ Drama albums """" and """" as well as Lil Wayne's ""Dedication 2"" and ""Dedication 3"" mixtape. It is the sequel to its predecessors, ""The Dedication"" and the highly successful ""Dedication 2"", becoming the third in Lil Wayne's ""Gangsta Grillz"" pentalogy.",Willie the Kid appeared on the mixtape tha was part of what pentalogy?,Gangsta Grillz,no
"The NBA high school draftees are players who have been drafted to the National Basketball Association (NBA) straight out of high school without playing basketball at the collegiate level. Contrary to popular belief, the player does not have to play at least a year in college basketball, as the player can choose to instead play in another professional league (especially overseas) like Brandon Jennings or Emmanuel Mudiay in Italy and China respectively, simply take the year off, such as the case with Satnam Singh Bhamara, or even hold themselves back a year in high school before declaring for the draft, such as the case with Thon Maker.Thon Marial Maker (born 25 February 1997) is a Sudanese-born Australian professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA).",What Sudanese-born Australian professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA) held himself back a year in high school before declaring for the NBA Draft?,The Sudanese-born basketball player who took a break before the NBA Draft for the Milwaukee Bucks is Thon Maker.,yes
"Jeanette Miller is an American character actress who has appeared in theatre, film and television since the 1940s She is perhaps best known for her recurring role as Aunt Edie on the ABC comedy series ""The Middle"", which she played from 2009 until early 2015, when her character was said to have died from old age. In film, she appeared in ""Cold Heaven"", ""The Truman Show"", ""Norbit"", ""Four Christmases"" and ""Legion"".Four Christmases (Four Holidays in Australia and New Zealand, Anywhere But Home in the Netherlands, Norway, United Arab Emirates and in South Africa) is a Christmas-themed romantic comedy film about a couple visiting all four of their divorced parents' homes on Christmas Day. The film is produced by Spyglass Entertainment released by New Line Cinema on November 26, 2008, the day before Thanksgiving, and distributed by Warner Bros.",Jeanette Miller is an American character actress who appeared in a Christmas-themed romantic comedy film produced by who?,Jeanette Miller appeared in a Christmas-themed romantic comedy film produced by Warner Bros.,yes
 Promoting famous Opera artists like Saimir Pirgu Ermonela Jaho and staying beside the singer Vace Zela in her health problems Mrs.Dedja also is the organizer of many humanitarian activities like international charity concerts in the benefit of children with mental health problems.Ermonela Jaho is an Albanian soprano.,"Edlira Dedja Bytyçi is an Albanian Artist of piano, art critic, municipal councilor, and the creator and leadership of the cultural foundation Opera sans frontieres -Opera without borders, promotes famous Opera artists like which Albanian soprano? ",Ermonela Jaho,no
"""It's Raining"" is a Korean language song, and the first single from the third album, by Korean R&B singer, Rain.Jung Ji-hoon (, born June 25, 1982), better known by his stage name Rain (Korean 비 IPA ['piː]), is a South Korean singer-songwriter, actor, and music producer.",What is the title of Jung Ji-hoon's first single from his third album? ,"""It's Raining""",no
"Buried Treasure is an American reality television appraisal series that debuted on the Fox network on August 24, 2011.Pawn Stars is an American reality television series, shown on History, and produced by Leftfield Pictures.",What genre of television are the shows Buried Treasure and Pawn stars?,Buried Treasure and Pawn Stars are both adventure shows.,yes
" It features 22 tracks including three ""Billboard"" Hot 100 number-one hits: ""See You Again"" by Wiz Khalifa featuring Charlie Puth, ""Can't Feel My Face"" by The Weeknd and ""Bad Blood"" by Taylor Swift featuring Kendrick Lamar.""Bad Blood"" is a song by American singer-songwriter Taylor Swift, from her fifth studio album ""1989"" (2014).","Which studio album released in 2014 has this song that is featured in ""Now That's What I Call Music! 56?""",1989,no
